iter	RMSE
0	14.4113112
1	13.49497136
2	12.59586386
3	11.8152383
4	11.137299
5	10.50690532
6	9.972345924
7	9.50870303
8	9.070468112
9	8.659314451
10	8.279507894
11	7.978685699
12	7.702479864
13	7.430694567
14	7.193339328
15	6.986883512
16	6.791427565
17	6.635897064
18	6.481855241
19	6.343413795
20	6.229124876
21	6.140660594
22	6.044650486
23	5.955123456
24	5.873043607
25	5.812796737
26	5.741833418
27	5.690089103
28	5.64955651
29	5.5945564
30	5.553669201
31	5.514249489
32	5.478936965
33	5.441333147
34	5.404846317
35	5.369051963
36	5.340183414
37	5.321450735
38	5.293777843
39	5.268944826
40	5.249133801
41	5.232038671
42	5.21377205
43	5.203890622
44	5.183884736
45	5.159814321
46	5.14143315
47	5.123533194
48	5.10728428
49	5.089251371
50	5.07653368
51	5.067767195
52	5.048472791
53	5.033616107
54	5.021559818
55	5.01262895
56	5.001092322
57	4.989786912
58	4.977998488
59	4.969637996
60	4.959560228
61	4.949443065
62	4.935978694
63	4.920572393
64	4.918874627
65	4.912788536
66	4.905140221
67	4.893233843
68	4.883171167
69	4.87330877
70	4.863676265
71	4.856238084
72	4.844844611
73	4.842122226
74	4.829423715
75	4.819780071
76	4.809477391
77	4.802743532
78	4.788458789
79	4.784480172
80	4.77469108
81	4.762705513
82	4.751838648
83	4.748316749
84	4.741945188
85	4.737084728
86	4.722068798
87	4.712738707
88	4.702092489
89	4.696358483
90	4.687931047
91	4.680911169
92	4.669049096
93	4.658112671
94	4.650278309
95	4.644071717
96	4.639156763
97	4.630693183
98	4.611423818
99	4.59305985
