iter	Passed	Remaining
0	2	199
1	3	185
2	5	192
3	8	209
4	11	221
5	14	223
6	16	218
7	18	212
8	20	210
9	22	205
10	24	201
11	27	198
12	29	194
13	31	192
14	33	190
15	36	191
16	38	188
17	40	184
18	42	181
19	44	178
20	46	175
21	48	172
22	50	170
23	52	167
24	55	165
25	56	162
26	59	159
27	61	157
28	63	156
29	65	152
30	67	149
31	68	146
32	70	143
33	72	140
34	74	137
35	76	135
36	77	132
37	80	130
38	82	128
39	84	126
40	86	124
41	88	122
42	90	120
43	92	117
44	94	115
45	96	112
46	97	110
47	99	108
48	101	105
49	103	103
50	105	100
51	106	98
52	108	96
53	110	94
54	112	91
55	113	89
56	115	87
57	117	85
58	119	82
59	121	81
60	123	79
61	125	77
62	127	75
63	129	73
64	130	70
65	132	68
66	134	66
67	136	64
68	138	62
69	140	60
70	142	58
71	144	56
72	146	54
73	147	51
74	150	50
75	152	48
76	153	45
77	155	43
78	157	41
79	159	39
80	161	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	184	11
94	186	9
95	188	7
96	190	5
97	191	3
98	193	1
99	195	0
