iter	Passed	Remaining
0	211	211673
1	214	106961
2	216	71944
3	218	54459
4	220	43933
5	225	37400
6	228	32406
7	230	28642
8	233	25763
9	236	23368
10	241	21697
11	243	20048
12	245	18641
13	247	17438
14	250	16440
15	259	15982
16	262	15171
17	264	14446
18	267	13801
19	271	13296
20	273	12743
21	275	12238
22	277	11779
23	279	11357
24	281	10969
25	283	10609
26	287	10358
27	289	10045
28	291	9754
29	293	9482
30	295	9228
31	297	8990
32	301	8848
33	304	8638
34	306	8438
35	307	8247
36	310	8068
37	313	7924
38	319	7870
39	322	7730
40	324	7599
41	327	7474
42	334	7448
43	337	7330
44	339	7204
45	341	7080
46	343	6961
47	347	6899
48	350	6795
49	352	6692
50	354	6592
51	356	6495
52	358	6404
53	360	6314
54	365	6271
55	367	6186
56	368	6104
57	370	6024
58	372	5946
59	374	5871
60	376	5800
61	381	5766
62	383	5700
63	385	5633
64	387	5568
65	389	5506
66	391	5446
67	395	5416
68	397	5361
69	399	5305
70	401	5247
71	402	5191
72	404	5137
73	406	5088
74	408	5034
75	410	4994
76	412	4944
77	414	4896
78	416	4850
79	417	4803
80	419	4758
81	421	4714
82	422	4663
83	423	4621
84	427	4603
85	429	4561
86	430	4522
87	432	4485
88	434	4448
89	436	4409
90	437	4371
91	439	4336
92	441	4305
93	443	4270
94	444	4235
95	446	4201
96	447	4168
97	449	4135
98	450	4102
99	452	4069
100	453	4038
101	455	4009
102	457	3987
103	459	3959
104	461	3932
105	463	3905
106	464	3876
107	466	3849
108	467	3822
109	469	3795
110	470	3770
111	473	3750
112	474	3727
113	476	3702
114	477	3677
115	479	3655
116	480	3629
117	482	3608
118	484	3587
119	491	3603
120	493	3586
121	495	3565
122	497	3549
123	499	3531
124	501	3510
125	503	3494
126	505	3474
127	507	3455
128	508	3436
129	510	3418
130	512	3399
131	514	3381
132	515	3363
133	517	3345
134	520	3332
135	521	3316
136	523	3298
137	525	3281
138	527	3265
139	528	3248
140	530	3232
141	531	3212
142	533	3196
143	535	3185
144	537	3169
145	539	3153
146	540	3137
147	542	3120
148	543	3104
149	545	3089
150	546	3073
151	548	3058
152	551	3052
153	553	3041
154	555	3028
155	557	3016
156	559	3003
157	561	2989
158	562	2977
159	564	2966
160	566	2951
161	568	2940
162	571	2934
163	575	2931
164	578	2927
165	585	2943
166	588	2933
167	590	2923
168	592	2913
169	594	2901
170	597	2898
171	600	2888
172	602	2877
173	603	2866
174	605	2855
175	607	2844
176	609	2834
177	612	2826
178	614	2817
179	617	2810
180	619	2802
181	621	2792
182	623	2783
183	625	2775
184	628	2770
185	631	2763
186	634	2757
187	637	2751
188	639	2743
189	642	2738
190	645	2735
191	647	2726
192	649	2717
193	652	2708
194	654	2699
195	655	2690
196	659	2688
197	662	2683
198	664	2674
199	666	2664
200	667	2653
201	669	2644
202	670	2634
203	672	2625
204	675	2619
205	677	2611
206	679	2601
207	680	2592
208	682	2582
209	684	2573
210	685	2564
211	687	2555
212	690	2549
213	691	2540
214	693	2531
215	695	2522
216	696	2513
217	698	2504
218	699	2495
219	701	2486
220	703	2478
221	705	2473
222	707	2465
223	709	2456
224	710	2448
225	712	2440
226	714	2431
227	715	2423
228	717	2415
229	719	2407
230	721	2402
231	723	2394
232	725	2386
233	726	2378
234	728	2370
235	729	2362
236	731	2355
237	733	2347
238	734	2339
239	737	2334
240	739	2327
241	740	2319
242	742	2312
243	744	2305
244	745	2297
245	747	2290
246	748	2282
247	750	2276
248	752	2269
249	754	2264
250	756	2258
251	759	2252
252	761	2247
253	762	2240
254	766	2238
255	768	2233
256	770	2227
257	772	2222
258	774	2215
259	776	2209
260	778	2203
261	779	2196
262	781	2190
263	783	2185
264	785	2178
265	787	2172
266	788	2165
267	790	2159
268	792	2152
269	793	2146
270	795	2140
271	798	2136
272	800	2130
273	801	2124
274	803	2118
275	805	2112
276	806	2106
277	808	2100
278	810	2094
279	812	2089
280	814	2085
281	816	2079
282	818	2073
283	819	2067
284	821	2061
285	823	2055
286	825	2050
287	827	2044
288	829	2040
289	831	2036
290	833	2031
291	835	2026
292	837	2021
293	839	2015
294	840	2009
295	842	2004
296	845	2001
297	847	1996
298	849	1991
299	851	1986
300	853	1981
301	855	1977
302	857	1973
303	860	1969
304	863	1966
305	864	1961
306	866	1956
307	868	1951
308	871	1947
309	873	1943
310	876	1941
311	878	1936
312	880	1931
313	881	1926
314	883	1921
315	885	1916
316	887	1911
317	888	1906
318	890	1902
319	893	1899
320	896	1897
321	899	1893
322	901	1889
323	903	1885
324	908	1886
325	910	1883
326	913	1880
327	916	1877
328	920	1876
329	921	1871
330	923	1866
331	925	1861
332	926	1856
333	928	1851
334	930	1846
335	931	1841
336	934	1837
337	936	1833
338	937	1828
339	939	1824
340	941	1819
341	943	1815
342	945	1810
343	948	1809
344	951	1806
345	954	1803
346	955	1798
347	957	1794
348	959	1788
349	960	1784
350	962	1779
351	964	1775
352	967	1772
353	968	1767
354	970	1763
355	973	1760
356	974	1755
357	976	1751
358	978	1747
359	980	1743
360	982	1739
361	984	1735
362	986	1730
363	988	1726
364	990	1722
365	991	1718
366	993	1713
367	995	1709
368	997	1705
369	998	1700
370	1000	1695
371	1001	1690
372	1003	1686
373	1004	1681
374	1006	1676
375	1007	1672
376	1009	1667
377	1011	1664
378	1012	1659
379	1014	1655
380	1016	1650
381	1017	1646
382	1019	1641
383	1020	1637
384	1022	1632
385	1023	1628
386	1025	1625
387	1027	1621
388	1029	1616
389	1031	1612
390	1032	1608
391	1034	1604
392	1036	1600
393	1037	1596
394	1039	1591
395	1041	1588
396	1043	1585
397	1045	1581
398	1047	1577
399	1049	1573
400	1050	1569
401	1052	1565
402	1053	1561
403	1055	1557
404	1057	1553
405	1059	1549
406	1060	1545
407	1061	1540
408	1063	1536
409	1065	1532
410	1067	1529
411	1068	1525
412	1070	1521
413	1072	1518
414	1074	1514
415	1075	1510
416	1077	1506
417	1079	1502
418	1080	1498
419	1081	1493
420	1083	1489
421	1084	1485
422	1086	1481
423	1088	1479
424	1090	1475
425	1091	1471
426	1093	1467
427	1094	1463
428	1096	1459
429	1097	1455
430	1099	1451
431	1100	1447
432	1102	1443
433	1104	1440
434	1105	1436
435	1107	1432
436	1108	1428
437	1110	1424
438	1111	1420
439	1113	1416
440	1114	1413
441	1116	1409
442	1117	1405
443	1120	1402
444	1122	1399
445	1123	1396
446	1125	1392
447	1127	1389
448	1129	1386
449	1131	1383
450	1135	1381
451	1136	1377
452	1138	1374
453	1139	1370
454	1141	1367
455	1143	1363
456	1144	1359
457	1145	1356
458	1147	1352
459	1149	1349
460	1151	1346
461	1153	1342
462	1154	1339
463	1156	1335
464	1157	1331
465	1159	1328
466	1161	1325
467	1162	1321
468	1164	1318
469	1166	1315
470	1168	1312
471	1170	1308
472	1171	1305
473	1173	1301
474	1174	1298
475	1176	1295
476	1178	1291
477	1180	1289
478	1182	1286
479	1184	1282
480	1185	1279
481	1187	1276
482	1189	1272
483	1190	1269
484	1192	1266
485	1194	1263
486	1196	1260
487	1198	1257
488	1200	1254
489	1201	1250
490	1203	1247
491	1205	1244
492	1207	1241
493	1209	1238
494	1212	1237
495	1214	1234
496	1218	1232
497	1220	1230
498	1222	1227
499	1224	1224
500	1226	1221
501	1228	1219
502	1230	1215
503	1232	1212
504	1233	1209
505	1235	1206
506	1237	1203
507	1238	1199
508	1240	1196
509	1242	1194
510	1244	1191
511	1246	1187
512	1248	1184
513	1249	1181
514	1251	1178
515	1252	1174
516	1254	1171
517	1257	1170
518	1259	1167
519	1261	1164
520	1262	1160
521	1264	1157
522	1265	1154
523	1267	1151
524	1269	1148
525	1270	1145
526	1274	1143
527	1275	1140
528	1277	1137
529	1278	1134
530	1280	1130
531	1281	1127
532	1283	1124
533	1284	1121
534	1286	1117
535	1288	1115
536	1290	1112
537	1291	1109
538	1293	1106
539	1295	1103
540	1296	1100
541	1298	1096
542	1299	1093
543	1301	1090
544	1302	1087
545	1304	1084
546	1306	1081
547	1308	1079
548	1309	1076
549	1311	1073
550	1313	1070
551	1315	1067
552	1316	1064
553	1317	1061
554	1320	1058
555	1321	1055
556	1323	1052
557	1324	1049
558	1326	1046
559	1327	1043
560	1329	1040
561	1330	1037
562	1332	1033
563	1333	1031
564	1335	1028
565	1337	1025
566	1338	1022
567	1340	1019
568	1341	1016
569	1343	1013
570	1344	1010
571	1346	1007
572	1347	1004
573	1349	1001
574	1351	999
575	1353	996
576	1354	993
577	1356	990
578	1357	987
579	1359	984
580	1360	981
581	1361	978
582	1363	975
583	1366	973
584	1367	970
585	1368	967
586	1370	964
587	1371	961
588	1373	958
589	1374	955
590	1376	952
591	1377	949
592	1379	946
593	1381	944
594	1382	941
595	1384	938
596	1385	935
597	1387	932
598	1388	929
599	1390	926
600	1391	923
601	1393	921
602	1394	918
603	1396	915
604	1398	913
605	1400	910
606	1402	907
607	1403	904
608	1405	902
609	1407	899
610	1408	897
611	1410	894
612	1412	891
613	1414	889
614	1415	886
615	1417	883
616	1418	880
617	1420	877
618	1421	875
619	1423	872
620	1424	869
621	1427	867
622	1429	864
623	1430	861
624	1431	859
625	1433	856
626	1434	853
627	1436	851
628	1438	848
629	1439	845
630	1441	842
631	1443	840
632	1445	837
633	1446	835
634	1448	832
635	1449	829
636	1451	826
637	1452	824
638	1453	821
639	1455	818
640	1456	815
641	1459	813
642	1461	811
643	1462	808
644	1464	805
645	1465	803
646	1466	800
647	1468	797
648	1469	794
649	1471	792
650	1473	789
651	1475	787
652	1476	784
653	1478	782
654	1479	779
655	1481	776
656	1482	774
657	1484	771
658	1485	768
659	1487	766
660	1488	763
661	1491	761
662	1492	758
663	1495	756
664	1496	754
665	1498	751
666	1500	749
667	1502	746
668	1503	744
669	1505	741
670	1508	739
671	1509	736
672	1511	734
673	1513	731
674	1514	729
675	1516	726
676	1518	724
677	1520	721
678	1521	719
679	1522	716
680	1524	713
681	1525	711
682	1526	708
683	1528	705
684	1529	703
685	1530	700
686	1532	698
687	1534	695
688	1535	693
689	1536	690
690	1538	687
691	1540	685
692	1541	682
693	1542	680
694	1544	677
695	1545	675
696	1546	672
697	1548	670
698	1550	667
699	1552	665
700	1553	662
701	1554	660
702	1556	657
703	1557	654
704	1558	652
705	1560	649
706	1561	647
707	1562	644
708	1565	642
709	1566	639
710	1568	637
711	1569	634
712	1570	632
713	1572	629
714	1574	627
715	1575	624
716	1576	622
717	1578	620
718	1580	617
719	1582	615
720	1583	612
721	1585	610
722	1587	608
723	1588	605
724	1590	603
725	1592	600
726	1593	598
727	1595	596
728	1597	593
729	1598	591
730	1599	588
731	1601	586
732	1603	584
733	1605	581
734	1606	579
735	1608	576
736	1610	574
737	1612	572
738	1613	569
739	1614	567
740	1616	564
741	1617	562
742	1618	559
743	1620	557
744	1621	555
745	1622	552
746	1624	550
747	1626	547
748	1627	545
749	1629	543
750	1630	540
751	1631	538
752	1633	535
753	1634	533
754	1635	530
755	1637	528
756	1638	525
757	1639	523
758	1642	521
759	1643	519
760	1644	516
761	1646	514
762	1647	511
763	1648	509
764	1650	506
765	1651	504
766	1652	502
767	1654	499
768	1655	497
769	1657	495
770	1658	492
771	1660	490
772	1661	487
773	1662	485
774	1664	483
775	1665	480
776	1666	478
777	1668	475
778	1669	473
779	1670	471
780	1673	469
781	1675	466
782	1676	464
783	1678	462
784	1679	459
785	1680	457
786	1682	455
787	1684	453
788	1685	450
789	1686	448
790	1688	446
791	1690	443
792	1692	441
793	1693	439
794	1694	437
795	1696	434
796	1697	432
797	1699	430
798	1700	427
799	1702	425
800	1704	423
801	1705	421
802	1707	418
803	1708	416
804	1709	414
805	1710	411
806	1712	409
807	1713	407
808	1714	404
809	1716	402
810	1717	400
811	1719	398
812	1721	395
813	1722	393
814	1723	391
815	1725	388
816	1726	386
817	1727	384
818	1729	382
819	1730	379
820	1731	377
821	1733	375
822	1735	373
823	1736	371
824	1738	368
825	1739	366
826	1740	364
827	1742	361
828	1743	359
829	1744	357
830	1746	355
831	1747	352
832	1748	350
833	1751	348
834	1752	346
835	1753	344
836	1755	341
837	1756	339
838	1757	337
839	1758	335
840	1760	332
841	1761	330
842	1763	328
843	1764	326
844	1766	323
845	1767	321
846	1769	319
847	1771	317
848	1772	315
849	1774	313
850	1776	310
851	1777	308
852	1778	306
853	1780	304
854	1781	302
855	1783	300
856	1784	297
857	1786	295
858	1787	293
859	1788	291
860	1790	289
861	1791	286
862	1792	284
863	1794	282
864	1795	280
865	1797	278
866	1798	275
867	1800	273
868	1801	271
869	1802	269
870	1804	267
871	1805	265
872	1807	262
873	1809	260
874	1812	258
875	1814	256
876	1816	254
877	1818	252
878	1819	250
879	1821	248
880	1822	246
881	1824	244
882	1826	241
883	1827	239
884	1829	237
885	1830	235
886	1832	233
887	1833	231
888	1834	229
889	1836	226
890	1837	224
891	1838	222
892	1840	220
893	1842	218
894	1843	216
895	1844	214
896	1846	212
897	1847	209
898	1848	207
899	1850	205
900	1851	203
901	1852	201
902	1854	199
903	1855	197
904	1857	194
905	1858	192
906	1860	190
907	1862	188
908	1864	186
909	1866	184
910	1868	182
911	1870	180
912	1872	178
913	1874	176
914	1876	174
915	1877	172
916	1878	170
917	1880	167
918	1881	165
919	1882	163
920	1884	161
921	1885	159
922	1886	157
923	1889	155
924	1890	153
925	1891	151
926	1893	149
927	1894	146
928	1896	144
929	1897	142
930	1898	140
931	1900	138
932	1901	136
933	1903	134
934	1904	132
935	1906	130
936	1907	128
937	1909	126
938	1910	124
939	1911	122
940	1912	119
941	1914	117
942	1915	115
943	1916	113
944	1918	111
945	1920	109
946	1921	107
947	1922	105
948	1924	103
949	1925	101
950	1926	99
951	1927	97
952	1929	95
953	1930	93
954	1932	91
955	1933	88
956	1935	86
957	1936	84
958	1938	82
959	1939	80
960	1940	78
961	1942	76
962	1943	74
963	1944	72
964	1946	70
965	1947	68
966	1948	66
967	1950	64
968	1952	62
969	1953	60
970	1955	58
971	1956	56
972	1957	54
973	1959	52
974	1961	50
975	1962	48
976	1963	46
977	1965	44
978	1967	42
979	1968	40
980	1970	38
981	1971	36
982	1973	34
983	1974	32
984	1975	30
985	1976	28
986	1978	26
987	1979	24
988	1981	22
989	1982	20
990	1983	18
991	1985	16
992	1986	14
993	1987	11
994	1989	9
995	1990	7
996	1991	5
997	1993	3
998	1994	1
999	1996	0
